stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
GINOSA MARINA;2018;1;0.8;0;1.2;0;0;5;0;4;0;0;18;2
GINOSA MARINA;2018;2;3.8;0;0.2;0;0;0;0;0.2;0;41;0;1.4
GINOSA MARINA;2018;3;0;0;0.6;0;6.4;0;0;0;0;0.4;0;0.4
GINOSA MARINA;2018;4;0.2;0;0;0.2;0;0;0;5.6;0;51.6;0.8;2
GINOSA MARINA;2018;5;0;0;6.4;0.8;0;0;0;0;7.2;56.2;3.2;0
GINOSA MARINA;2018;6;0;0;0.2;0.2;6.4;0;0.2;0;0;10.6;0;0
GINOSA MARINA;2018;7;0;2.4;0.6;0;0;0;0;0;4.6;4.6;0.2;0
GINOSA MARINA;2018;8;0;0;0.2;0;0;0;0;0;0;2.6;0;0.2
GINOSA MARINA;2018;9;0;0;0;0;0;0.6;0;0;0;0;0;0
GINOSA MARINA;2018;10;1.4;8;0;0.2;0;0;0;0;0;0;0;0.4
GINOSA MARINA;2018;11;0;0;0;0;0;0;0;5;0;0.2;0.2;0
GINOSA MARINA;2018;12;16;0.2;0;0;0;0;0;0;0;0;0.2;0
GINOSA MARINA;2018;13;6.8;5.4;0;0;0;0;0;0;0;0;0.2;10
GINOSA MARINA;2018;14;0;4;0;0;0;8;0;0;0;0;0;0.2
GINOSA MARINA;2018;15;0;0.2;0;0;0.2;4;0;0;0;11;0;1.6
GINOSA MARINA;2018;16;0;0;0;1.6;0;1.4;0;9.2;0;13.2;1.2;0
GINOSA MARINA;2018;17;0.2;0;0;0;0;4.4;2.2;0;0;0;0.4;0
GINOSA MARINA;2018;18;0;0.4;0.2;0.2;8.4;0.2;0;0;0;0.2;0.2;0.2
GINOSA MARINA;2018;19;0;0.6;0;0;0;0.2;0;0.2;0;0;1;0
GINOSA MARINA;2018;20;0;11.8;2.2;0;0;0.8;0;0;0;0;6.2;0
GINOSA MARINA;2018;21;2;7;1.4;0;0;0;0;0.2;0;1.4;0;0
GINOSA MARINA;2018;22;0;0;14.6;0;0;0;0;0;0;24.4;0;0
GINOSA MARINA;2018;23;0;1.6;0.2;0;3.4;0;21.2;0;0;0.4;0;0
GINOSA MARINA;2018;24;0;5;3;0;4.6;0;0;0;0;0;0.2;0.2
GINOSA MARINA;2018;25;0;2.2;10.8;0;0;0;0;0;0;0;2.4;0
GINOSA MARINA;2018;26;0;2.4;0.4;0;0;7.4;0;0;0;0;0.8;0.2
GINOSA MARINA;2018;27;0;1.4;1;0.2;0;1;0.2;0.8;0;0;2;0
GINOSA MARINA;2018;28;0;0;0;0;0;1.8;0.6;0;0;1;0.6;0
GINOSA MARINA;2018;29;0;NA;0.2;0;0;0;0;0;0;9.6;0;0
GINOSA MARINA;2018;30;0;NA;0;0;0;0;0;0;0;4;0;0
GINOSA MARINA;2018;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;1.2
