codice;nome;;;
103;Acquaviva delle Fonti;;;
465;Adelfia;;;
476;Alberona;;;
501;Alessano;;;
401;Altamura;;;
46;Andretta;;;
33;Andria;;;
62;Anzano di Puglia;;;
63;Apricena;;;
116;Arpinova;;;
55;Ascoli Satriano;;;
495;Atella;;;
56;Avetrana;;;
466;Bari Campus;;;
402;Bari Idrografico;;;
467;Bari Osservatorio;;;
29;Barletta;;;
403;Biccari;;;
464;Bisaccia;;;
1;Bisceglie;;;
468;Bitonto;;;
404;Borgo Liberta;;;
405;Bosco Umbra;;;
406;Bovino;;;
810;Bradano P.te Colonna (BASIL);;;
6;Brindisi;;;
407;Cagnano Varano;;;
408;Calitri;;;
82;Can.Asso;;;
477;Candela;;;
409;Canosa di Puglia;;;
84;Carlantino;;;
110;Carpino;;;
91;Casalnuovo Monterotaro;;;
42;Casamassima;;;
53;Cassano Murge;;;
410;Castel del Monte;;;
411;Castellana Grotte;;;
51;Castellaneta;;;
412;Castelluccio dei Sauri;;;
474;Ceglie Messapica;;;
85;Celenza Valfortore;;;
60;Cellino S.Marco;;;
21;Cerignola;;;
488;Collepasso;;;
469;Conversano;;;
489;Copertino;;;
16;Corato;;;
413;Corigliano;;;
498;Crispiano;;;
64;Deliceto;;;
102;Diga Locone;;;
415;Diga Osento;;;
45;Diga sul Rendina;;;
414;Diga T.Celone;;;
78;F.Fortore-P.te SP41b(Ripalta);;;
416;F.Ofanto-S.Samuele di Cafiero;;;
3;Faeto;;;
24;Fasano;;;
418;Foggia Ist.Agr.;;;
26;Foggia Osservatorio;;;
478;Fonte Rosa;;;
419;Forenza;;;
490;Galatina;;;
420;Gallipoli;;;
421;Ginosa;;;
54;Ginosa Marina;;;
27;Gioia del Colle;;;
470;Giovinazzo;;;
814;Grassano SP (BASIL);;;
97;Gravina in Puglia;;;
37;Grottaglie;;;
12;Grumo Appula;;;
802;Irsina (BASIL);;;
422;Lagopesole;;;
98;Laterza;;;
35;Latiano;;;
50;Lavello;;;
127;Le Cesine;;;
423;Lecce;;;
424;Lesina;;;
52;Lizzano;;;
471;Loconia;;;
25;Locorotondo;;;
49;Lucera;;;
8;Maglie;;;
499;Manduria;;;
425;Manfredonia;;;
426;Martina Franca;;;
41;Massafra;;;
126;Masseria Galeone;;;
87;Masseria Modesti;;;
427;Masseria Monteruga;;;
428;Masseria S.Chiara;;;
801;Matera (BASIL);;;
491;Melendugno;;;
429;Melfi;;;
430;Mercadante;;;
96;Mesagne;;;
492;Minervino di Lecce;;;
32;Minervino Murge;;;
124;Molfetta;;;
95;Monopoli;;;
48;Monte S. Angelo;;;
431;Monte Vulture;;;
30;Monteleone di Puglia;;;
115;Montemesola;;;
432;Montemilone;;;
808;Montescaglioso (BASIL);;;
13;Monticchio Bagni;;;
433;Montursi;;;
500;Mottola;;;
19;Nardo;;;
472;Noci;;;
493;Novoli;;;
434;Nusco;;;
806;Oppido Lucano (BASIL);;;
479;Orsara di Puglia;;;
40;Ortanova;;;
480;Orto di Zolfo;;;
23;Ostuni;;;
9;Otranto;;;
99;Palagianello;;;
88;Palagiano;;;
807;Palazzo S. Gervasio (BASIL);;;
61;Panni;;;
108;Peschici;;;
496;Pescopagano;;;
22;Pietramontecorvino;;;
435;Pietramontecorvino AQP;;;
7;Poggio Imperiale;;;
114;Polibasede;;;
34;Polignano a Mare;;;
436;Presicce;;;
65;Quasano;;;
437;Ripacandida;;;
445;Rocchetta S.Antonio;;;
481;Rocchetta S.Antonio Scalo;;;
109;Rodi Garganico;;;
2;Ruffano;;;
10;Ruvo di Puglia;;;
483;S.Agata di Puglia;;;
451;S.Angelo dei Lombardi;;;
497;S.Fele;;;
446;S.Giorgio Jonico;;;
482;S.Giovanni Rotondo;;;
447;S.Marco in Lamis;;;
450;S.Maria di Leuca;;;
59;S.Pancrazio Salentino;;;
83;S.Paolo Civitate;;;
18;S.Pietro Vernotico;;;
448;S.Severo;;;
449;S.Vito dei Normanni;;;
804;San Giuliano (BASIL);;;
803;San Nicola (BASIL);;;
5;Sannicandro Garganico;;;
473;Santeramo in Colle;;;
452;Savignano Irpino;;;
453;Spinazzola;;;
113;Statte;;;
456;T.Atella-SS381;;;
80;T.Candelaro-P.te SS272;;;
76;T.Saccione-P.te SS16ter;;;
106;T.Salsola-P.te SS16;;;
454;Talsano;;;
57;Taranto;;;
14;Taviano;;;
455;Teora;;;
123;Terlizzi-Depuratore;;;
484;Tertiveri;;;
485;Torremaggiore;;;
901;Tremiti;;;
812;Tricarico (BASIL);;;
38;Troia;;;
39;Turi;;;
813;Vaglio di Basilicata (BASIL);;;
58;Venosa;;;
486;Vico del Gargano;;;
459;Vieste;;;
494;Vignacastrisi;;;
86;Volturara Appula;;;
487;Volturino;;;
